,강의명/교수명,input,target
0,INTRODUCTION TO MANAGEMENT/천은영,"[-0.7074925, 0.38668293, 0.35120696, -0.28129908, 0.073745996, 0.12804021, 0.8577686, 0.29402083, -0.27769563, -0.16539255, 0.22683866, 0.5254657, 0.4328378, -0.18726635, 0.17463917, -0.22897044, -0.9933326, 0.05991741, -0.14218734, -0.44027764, 0.5759559, 0.35874358, -0.51492035, -0.3821771, 0.4186246, -0.14261174, -0.23251274, -0.095804326, 0.21558397, 1.162031, 0.58337563, 0.5073562, 0.20774162, 0.5979845, 0.1042589, -0.51020676, -0.55561024, 0.8668336, 0.23875487, -0.748107, -0.25593877, 0.22437753, -0.3962446, -0.23521172, -0.17754996, 0.49913004, -0.93472487, -0.0061105974, -0.40231183, -0.00034315046, 0.70088804, 0.4966049, -0.3406678, 0.6337826, 0.3629119, 0.0038591023, -0.32535788, 0.31536883, -0.22200193, -0.016418757, 0.72993, 0.1144255, 0.20087455, 0.6830646, -1.1359754, -0.7672797, 0.34048662, -0.23665716, -0.15380973, 0.3209521, -1.1150371, 0.7416211, 0.09060649, 0.46495944, 0.23092255, 0.33365798, -1.1484724, 0.2513522, 0.2029109, -0.15476592, -0.2924109, 0.108954586, -0.7158489, -0.2094937, 0.49103943, 0.5579358, 0.70880467, -0.53730017, 0.15073563, -0.47281852, -0.13102767, 0.27959698, -0.48052937, 0.25017565, -0.35535118, -0.29256424, -0.23939574, -0.9634409, -0.38883644, -0.732561]","[0.5, 1.0, 0.0, 0.5, 0.0, 0.5]"
1,생명공학수학/김영식,"[0.123029865, 0.2866124, -0.7563771, 0.74030954, 0.45999524, -0.18121149, 0.46962827, 0.1956815, -0.095081285, -0.5693607, 0.15320973, 0.043427233, -0.6866735, 0.56071514, 0.46186557, -0.4443864, -0.48016626, 0.15289888, 0.608269, -0.21916541, 0.070660025, 0.40147045, -0.40471658, -0.16528, 0.23048188, 0.69688326, -0.2819685, -0.31129453, 0.30598128, 0.63410616, 0.29081056, 0.6541972, -0.042530756, 0.27070704, -0.49878198, 0.035976086, -0.0549106, 0.59809613, 0.59066343, -0.49496266, 0.4162436, 0.22689794, -0.23756795, -0.45613414, -0.07068672, -0.25741562, -0.5729033, 0.45567057, -0.09392892, 0.27205145, -0.3135568, 0.96808493, -0.12954071, 0.8075452, 0.14516902, 0.024656687, -0.15146895, -0.16090962, -0.16415499, -0.6145713, 0.8063059, 0.44891173, -0.689313, 0.48485613, -0.3286389, 0.32802725, 0.16409224, -0.34246057, -0.17323789, -0.11121221, -0.6719713, 0.12130358, -0.07989176, 0.53529865, -0.249936, 0.07702917, -0.6737841, 0.39601842, 0.5622118, -0.56513524, -0.07041256, -0.7275828, 0.14214979, -0.5446861, 0.5421548, 0.70416415, 0.29805332, -0.6660343, -0.2702073, -1.0745926, -0.46128935, 0.51875335, -0.2211999, 0.8720671, -0.4440087, -0.12991977, -0.48068753, -0.45175114, -0.12561253, -0.33664557]","[1.0, 0.5, 0.0, 0.5, 0.5, 0.5]"
2,영어음성학/이석재,"[-0.2356504, 0.39320433, -0.2823443, 0.2407395, 0.2722142, 0.13133942, 0.2659205, 0.89338523, -1.1245072, -0.2672583, -0.7920071, 0.59029686, -0.08808222, 0.08552206, 0.5295204, -0.262508, -0.39802012, 0.08610343, -0.26542428, -0.37942433, 0.55230147, 0.88924503, -0.14355952, -0.3210874, -0.7729054, 0.096104495, 0.12890796, 0.53491646, 0.0035712097, 0.5484236, 0.3299993, 0.44095147, 0.104991674, 0.58322513, -0.9177521, -0.1429731, -0.084815405, 0.056313094, -0.39731574, -0.23593901, -0.027492726, 0.10769647, 0.44599435, -0.40757555, -0.31489897, -0.25184238, 0.253545, 0.42931512, 0.39711958, 0.32215318, -0.5749022, 0.29936463, -0.3877041, 0.46087176, 0.5726154, 0.78152114, -0.6077324, 1.1366898, 0.14902608, -0.2431928, 0.36550137, 0.06040471, 0.019993411, -0.032955587, -0.37897936, 0.4916216, 0.2661011, 0.31570005, 0.24577762, -0.29416972, 0.07680429, 0.31867516, 0.033334184, 0.20621973, 0.111057796, -0.9505154, -1.0822263, 0.13091946, 0.8101873, -0.01950437, -0.6229637, -0.14056094, -0.5599359, -0.03634444, 0.40933096, 0.5901195, 0.7291239, -0.82721704, 0.10287455, -0.65532887, -0.685852, 0.53390837, -0.28279346, -0.088030174, -0.7617034, -0.43900615, -0.96903163, -0.32703602, 0.03520396, -0.0483894]","[1.0, 0.5, 1.0, 1.0, 0.5, 0.5]"
3,언론학개론/윤영철,"[-0.6492921, 0.43619692, -0.30091143, 0.2558358, -0.09454819, 0.21333534, -0.21012963, 0.9629777, -0.5805284, 0.23835112, -0.47644484, 0.17978276, -0.804247, 0.19015576, 0.3888343, -0.7078272, -1.0635725, 0.20831583, -0.39536738, -0.069171146, 0.8709096, 0.1684254, -0.44899383, -0.8357244, -0.22356522, -0.16267447, 0.04745649, 0.004416773, 0.26191697, 0.29443267, 0.23902342, 0.20520937, -0.4732283, 0.4820304, 0.33999354, -0.06372578, 0.205507, -0.09220359, 0.25815734, -0.75871617, -0.37354964, 0.78799397, 0.10375367, -0.26323745, 0.1333006, -0.28711534, -0.51839685, -0.05198009, -0.26596886, -0.123434395, -0.11012528, 0.1377531, -0.3103011, 0.43616223, 0.43639922, 1.1230254, -0.9923225, 0.24377997, -0.11780596, -0.46563095, 0.8204494, 0.4859584, -0.77671146, 0.37899166, -1.015108, -0.10397468, -0.1321503, -0.56028944, 0.3241233, -0.7215576, -0.4395707, 0.14501119, 0.06912073, 0.7220009, -0.1749082, -0.37565798, -0.10154697, 0.08503955, 0.2528406, 0.3827775, 0.026876537, -0.6410834, -0.24955145, -0.73063445, 1.0106401, 0.0275259, 0.107273094, -0.24248159, -0.32898957, -0.62738603, 0.2216185, 0.5517355, -0.37357733, 0.28802443, -0.3470054, 0.005315477, -0.29578707, -0.17062508, -0.21942732, -0.94088393]","[1.0, 0.0, 0.0, 0.5, 0.5, 0.5]"
4,사회복지개론/채주석,"[-0.34625363, 1.1355393, 0.106933005, 1.0419872, 0.13677321, -0.25919008, 0.54533726, 0.6114775, -0.7971852, 0.086091034, -0.65448344, -0.30654937, -0.41667348, 0.5950038, -0.08203221, -0.2646288, -0.4176079, 0.46717864, 0.18680699, 0.3668462, 0.7019693, 0.008852173, -0.72394085, -0.2732046, -0.44779134, -0.05959125, 0.26793066, 0.052682724, 0.44511425, 0.81401515, 0.36363986, 0.92198867, -0.33795273, 1.2523149, -0.5838074, 1.0380943, -0.10789614, 0.36508346, 0.5159426, 0.06950931, -0.5019049, 1.2641262, -0.37270755, -1.1415266, -0.51689833, -0.37790805, -0.71238595, 0.39829716, -0.06381281, -0.57910687, -0.43215913, 0.2977294, 0.008549374, 0.2680698, 0.7145024, 0.3144055, -0.36947644, 0.63437176, -0.35130742, -1.016413, 0.53852725, 0.5390086, -0.2121931, 0.31987503, -0.37342146, 1.1078233, -0.55981815, -0.26335308, -0.41719055, -0.14806163, -0.13580087, -0.22567314, -0.20877989, 0.68982846, -0.20110208, -0.27547187, -0.3586389, -0.6853343, 0.31784728, 0.17449355, -0.8746924, 0.08008707, -0.83037204, 0.40589777, 0.6566345, -0.3387437, 0.13760132, -0.03542384, 0.19659491, -0.2289248, -0.6894116, 0.45876992, -0.4440906, -0.049171414, -0.3909647, -1.02789, -0.20690049, -0.1378158, -0.47911435, 0.24041471]","[1.0, 0.0, 0.5, 1.0, 0.5, 0.5]"
5,미분적분학과벡터해석(1)/천세훈,"[-0.93416697, 0.27640963, 0.12571874, 0.46519172, 0.15356727, -0.03554006, 0.03972132, 0.1889827, -0.7445996, -0.18542756, -0.6155201, -0.005526973, -0.35849684, 0.5751569, 0.09292296, -0.4911065, -0.49587536, -0.27380517, 0.75765955, -0.66457, 1.0462637, 0.06821676, 0.02340123, -0.45092028, -0.32019427, 0.60423887, 0.37412566, 0.6969345, 0.41187885, 0.35170335, 0.33957955, 0.99132335, 0.36066753, 0.56050164, 0.0988411, 0.08951845, -0.26942238, -0.13974, 0.08878483, -0.42002338, 0.28675887, 0.48825902, -0.17823173, -0.539927, 0.06130483, -0.053016774, -0.37020972, 0.0023930173, 0.09776822, 0.3376936, 0.44841528, 0.23587884, 0.21819746, 0.6825098, 1.1766587, 0.51631266, -0.07523933, 0.51449335, 0.046281304, -0.5450311, 0.4494658, 0.13931367, -0.4087223, 0.11120802, -0.826495, 0.033699874, 0.45220068, -0.0021338603, 0.8731284, -0.11386594, 0.12967336, 0.6927724, -0.0661043, 0.41632548, 0.25395846, 0.06849555, -0.71119696, 0.2983213, 0.32111943, -0.109813266, -0.1635668, -0.46487957, -0.009560284, -0.13866916, 0.5420398, 0.39100036, 0.4349722, 0.013470823, 0.17730953, -0.7951166, -0.4321591, 0.2778394, -0.085620984, 0.4626833, -0.20308898, -0.6994976, -0.66971546, -0.5482194, -0.00833978, -0.17253298]","[1.0, 1.0, 0.5, 1.0, 0.0, 0.5]"
6,체력육성/김재호,"[-0.56526697, 0.1140359, 0.22674747, 0.09350446, 0.243283, -0.22569163, 0.24275592, 0.501917, -0.79354125, -0.59880084, 0.39771333, 0.013454528, -0.32206902, 0.77251935, 0.29861528, 0.14811431, -0.30443513, 0.26482773, 0.6824342, 0.12435414, 0.33949727, -0.32815892, -0.8237245, -0.4451693, -0.18761197, 0.5313021, -0.10047117, -0.16077575, 0.5919313, 1.0364095, 0.09753268, -0.25640172, 0.03264585, -0.04478578, -0.7372275, -0.2442235, -0.124790326, 0.67908376, 0.19019322, -0.5232098, 0.07815785, 0.16259748, -0.6539336, -0.3589614, 0.0565756, 0.31062874, -0.51433766, -0.27885973, 0.15844917, -0.0040561613, -1.099944, -0.2444146, -0.30413935, 0.275316, 0.17946032, 0.5918008, -0.22927198, 0.08336039, 0.32174054, -0.5532244, 0.27483252, -0.3600583, -0.31531224, 0.8986646, -1.1832906, 0.25932556, -0.3109089, -0.35494736, 0.05773502, 0.2823297, -0.5866089, 0.5649853, 0.00016506761, 0.8436096, 0.23007092, 0.19139208, -0.5954789, -0.42410356, -0.42180446, 0.29789242, 0.13930434, 0.1325084, -0.053996366, 0.21401283, 0.26444831, 0.4873338, 0.43439716, -0.6066879, 0.32686013, -0.37228787, -0.49294123, 0.27700803, -0.49086794, -0.062128272, -0.34175706, -0.15018247, -0.046828106, 0.07794889, 0.36477757, -0.7074324]","[1.0, 1.0, 1.0, 1.0, 0.5, 0.5]"
7,헌법과민주행정/이승현,"[-0.2729188, 0.42996424, 0.6470004, 0.22056942, 0.201496, 0.537116, 0.31656152, 0.4293729, -0.9080344, -0.9826008, -0.098083764, -0.197385, -0.2992012, 0.83151585, 0.0824721, -0.50744504, -0.9509353, -1.017076, 0.38888583, -0.28358686, -0.052824307, -0.059820328, -0.24449106, -0.09201581, -0.7798149, -0.3974588, -0.17135957, -0.23583621, 0.045943435, 0.67796123, 0.37647748, 0.6086996, 0.08082266, 0.28214064, 0.5664404, 0.23593754, 0.70680326, 0.102116235, 0.3078043, -0.65300477, -0.084862635, -0.37377298, -0.35683778, -0.5390545, -0.59934604, 0.21893369, -0.40189156, -0.016265495, 0.14827976, 0.0044990173, 0.6045575, 0.58895624, -0.49262404, 0.6906569, -0.15136573, 0.2755684, -0.9487248, 0.1296589, -0.46267754, -0.56439734, 0.33624342, 0.15603828, -0.92965347, 0.7349832, -0.5173891, -0.38078192, 0.64507204, -0.40268663, 0.2101946, -0.60140175, -0.0054216012, 0.55251056, -0.04898187, 0.54323906, -0.14629184, -0.2744549, 0.026242785, 0.49554577, 0.27937233, -0.16453646, 0.25172973, -0.4145499, 0.24060476, -0.38683787, 0.72965974, 0.6260547, 0.6135304, -0.7151412, 0.8267828, -0.148075, -0.44785675, 0.7822277, -0.6630408, 0.13492465, -0.48170754, -0.56350595, -0.4576237, -0.67035633, -0.2517283, -0.33374703]","[1.0, 1.0, 0.0, 0.5, 1.0, 0.5]"
8,검도/마윤성,"[-0.20543769, 0.17388913, -0.38560617, 0.36236608, -0.04378333, 0.5600928, 0.3619811, 0.34861216, -0.38774115, -0.5342459, 0.022164468, 0.16877718, -0.76177126, 0.17250344, 0.023017447, -0.5299522, -0.3899996, 0.5619839, 0.11111245, -0.15047108, 1.0982813, -0.05017399, -0.14786628, 0.039200224, 0.18189836, -0.16589503, 0.32825112, 0.39725566, 0.2558429, 0.26821935, 0.11088544, 0.67381054, 0.28075677, 0.20930663, 0.05209711, 0.4177736, 0.43425426, 0.21906999, 0.35820022, -0.4663092, 0.4678886, 0.377948, 0.022709563, 0.050382297, -0.9020794, 0.30705824, -0.6997799, -0.35988164, -0.089505106, -0.21972041, -0.102600046, -0.102201484, -0.4413041, 0.41093865, 0.7466637, 0.1715282, 0.13307318, 0.4326238, -0.40236953, 0.21014416, 0.78275615, -0.022188455, -0.29170457, 0.87907076, -1.1664768, 0.17652167, 0.10710572, -0.26998958, -0.18214315, -0.39083952, -0.030002577, -0.03859667, -0.45809993, 1.2475401, -0.3472652, -0.25440574, -0.3784897, 0.20017646, 0.58741033, 0.36639252, -0.307408, -0.26297227, -0.21888338, 0.114274286, 0.13173416, 0.053040043, 0.93286645, -0.29175144, 0.9973268, 0.17953141, -0.6191395, -0.1638692, -0.21923657, 0.11567309, -0.44013047, -0.14415094, 0.18253355, -0.4376764, -0.073828675, -0.7940407]","[1.0, 0.5, 0.5, 1.0, 0.5, 0.5]"
9,우주의이해/김석환,"[-0.11959605, 0.10760769, 0.09676153, -0.37651297, 0.15855995, -0.43244126, 0.17235808, 0.03578331, 0.37853575, -0.4857441, -0.5634102, 0.91393894, -0.29346752, 1.2655984, 0.86260617, 0.17335638, -0.8148798, -0.6068678, 0.08466099, -0.19265783, 0.5418617, 0.113499284, 0.23900288, -0.15331268, -0.22267912, 0.027122589, -0.13432375, 0.28338426, 0.062940694, 0.46633217, 0.602824, 0.37305292, -0.072476245, 0.2922268, 0.5466022, 0.5337591, -0.117465146, -0.15281422, 0.56347656, -0.06453504, -0.17289081, 0.4892003, -0.62915343, -0.23450653, -0.5452231, -0.5765281, -0.74139726, 0.41460493, 0.3939761, 0.5653027, -0.2535814, 0.19362664, 0.1311355, 1.4517167, 0.78180075, 1.5614218, 0.32720917, 0.33168292, 0.23452412, -0.24441616, 0.9814986, 0.26166263, -1.0858546, -0.2565542, -0.75558376, 0.018665342, 0.25544918, -0.0074642, 1.21425, -0.2995159, 0.14951035, 0.34773254, 0.3306192, 0.17043318, 0.21029593, -0.37568673, -0.91005445, 0.91437346, 0.06419463, 0.451373, -0.6857534, -0.5663475, -0.14458504, -1.0671933, 0.13326633, 0.30219045, 0.98742807, -0.42870212, -0.37066615, -0.7249988, 0.32335395, 0.0596456, 0.03470886, 0.6932122, -0.7274362, -0.09357507, -0.028934285, -0.05904734, -0.38686153, -0.03901445]","[0.5, 0.5, 0.5, 1.0, 1.0, 0.5]"
