,강의명/교수명,input,target
0,통계학입문/김숙경,"[-1.2990191696527762, -1.4830524926307118, 0.16542105006340532, -1.7160229271100949, 0.07394750074622031, -0.5041596580453808, 1.125217416763415, -1.4349117864410836, -0.601887251857083, -2.652899405692996, 3.362071412345409, -5.064586599101762, -0.6256546514908493, -4.2757388674700065, -2.3373165537160436, -1.702646190904955, -0.08124295260476691, 0.9968013202259243, 2.0972340978200177, -1.1813429778614517, -0.08068173355723073, 1.799927972904952, -1.4255639913572553, -0.7923354049907283, -0.46074675475944543, 0.18200309868810646, 0.09108511394291764, -3.61521333474239, 0.49870278627463055, 0.527673161461934, -0.3140026489950006, 0.24958442187994948, -1.462538971023625, 1.4593288994921365, -1.9705397374815725, -0.31144788116983196, 3.3251714064188533, -1.4298227962609522, 1.6860981665980375, -2.0375796728643643, 0.7343480133599934, -0.3074204248516624, -0.4656626659324828, 2.1405006249071996, 2.897118397815143, 3.786340386381662, -1.4729627858647865, 0.4869771707837128, 0.4087513566956707, 2.1690766610858563, 1.8010602345708215, -4.040520494753538, -1.333089029643692, 2.3251413080589414, 1.8491715371616444, 1.2784269290217873, 0.9253029587727335, 1.2538178367404396, -1.1892424256631913, 2.4142297400238255, -1.8993502335522545, 0.9550468040481175, 0.6978175011906461, -2.5647586846903785, -3.3821612898328897, -2.199296764023584, 1.000249192856036, -0.2782142815952012, -0.5262176452832603, -2.559352760034176, 4.574512159883085, -0.11121238451230853, 0.01765197407696392, 1.6353767271900173, -1.2297074063185225, -0.853931688405305, 0.9448089415044367, -0.498788479641937, 0.3846939315259483, -0.7109068565422464, 0.8256633876397085, -1.8061558046338315, 0.5778096512451195, 2.1261786089248007, -1.9088292585340234, 2.3363162866182408, -2.838582437220496, 2.393637653027246, -0.37436842315176955, -1.7009273996233367, -0.4250478244605401, -2.8049057994394255, 3.5386790088543543, 1.0089565266164118, 0.3238907241189537, -2.3629269782587743, 0.4633529063085289, -0.16038127028911264, 0.4645803056235071, -2.4497593003053586]","[1.0, 0.5, 1.0, 1.0, 0.5, 0.5]"
1,글로벌리더십/김용호,"[-1.237644724973481, -1.4695318804965667, 0.07239967741936251, -1.7229618055181914, 0.21462415800637824, -0.5498035517305061, 1.2125785043920672, -1.4257486218186188, -0.6284061299185196, -3.098989839643281, 3.4906455528621025, -5.550155536292294, -0.7473130400354578, -4.529428586417587, -2.5814250559903567, -1.8728732436894633, 0.024168702037814904, 0.9590665854874456, 2.3807777417881764, -1.1993778335081169, -0.23233893876040995, 1.9766156259241312, -1.534890699723961, -0.5571607862042619, -0.5589814093715748, 0.12193188594904972, 0.03903529382836664, -4.107659092861656, 0.5253717295482313, 0.38854492284710485, -0.1495485754763074, 0.19927734635568634, -1.4905536087097333, 1.7020011335257996, -2.1055144919503435, -0.3372111538997888, 3.6796824220243582, -1.5742264573885432, 1.663542511226514, -2.294460231497449, 0.8100475273713665, -0.20479723655436535, -0.55717628671968, 2.3032687469644895, 3.344883530733084, 4.30267089100036, -1.6441588486556336, 0.49888296659944054, 0.3939496704901549, 2.375363164323544, 1.9022595099512616, -4.492836409593442, -1.3355903460579075, 2.5898756966294365, 1.968052711460067, 1.4556821666579824, 0.9221130386654213, 1.348631165904716, -1.3281112550289529, 2.503946318521596, -1.9406696328659383, 1.2273372802976716, 0.6793163553791701, -2.8614365892737497, -3.782871123264474, -2.4571666137390915, 0.9837373877325166, -0.053531654535833424, -0.4421538128803561, -2.821507478713178, 4.995530330482098, -0.06433036461546784, -0.02675333859216581, 1.7644698345601861, -1.2822854147030611, -0.8299310679839564, 1.0401313955692035, -0.5885965300476925, 0.5956330981609426, -0.7043982169305335, 1.0573479430925845, -1.9556007037985426, 0.5717638780424756, 2.353287333839024, -2.17226167142539, 2.6407553806315067, -3.0134964789595764, 2.620701269734255, -0.3491556176219349, -1.8322707042336268, -0.2665386322929577, -2.9836823387860565, 3.7870627156449332, 1.1529649029165958, 0.3927668396170941, -2.65738386423835, 0.6074163932178418, -0.15719625191507786, 0.4483694134619458, -2.698352938525535]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2,인문사회수학/김동호,"[-1.061686247201042, -1.268587524747092, -0.16258411653391822, -1.3921177230219366, 0.08205795349615348, -0.3499523069380688, 0.911274857840838, -1.1479206783289448, -0.6327678099881038, -2.480413765424081, 2.691543464218614, -3.850780027646013, -0.561514633892592, -3.6011352912637107, -2.0627576206407188, -1.297273844547047, -0.03386550236041461, 0.6006729925098313, 1.676551684311171, -0.9140146346155704, 0.19911225704995095, 1.5949298295878247, -1.216910082900597, -0.8709772298991365, -0.4525131316680021, 0.2155049462375695, 0.2592432672255146, -2.971257048655671, 0.2994069568095624, 0.645838637679213, -0.1676045530733684, 0.25401550436177467, -1.4774193249319383, 1.3551489217246029, -1.441183085419491, -0.2701309058644335, 2.749772104719953, -1.2047433868289876, 1.2328185114831107, -1.943341439128459, 0.40352471122472555, -0.33784464689291377, -0.5613465646504031, 1.846460159996095, 2.505929645920581, 3.199365980991845, -1.2977252996446007, 0.5315228741743052, 0.2590479387147138, 1.7716493001448221, 1.4153818374982092, -3.5996630878949345, -1.137568886819792, 2.283248713530516, 1.4177231942044848, 1.0871684452708636, 0.6608432119546691, 1.0471258842652358, -1.1425825490056813, 1.7126993220069668, -1.606962925334197, 0.5574556994978488, 0.8509916279499934, -1.968524037147442, -2.6520982176260994, -1.644568220644425, 0.8559193038424912, -0.4112441852021017, -0.4569196038893937, -1.8474064171513398, 3.8166317921208255, -0.06254281592369672, 0.020284259994056423, 1.454061522740321, -0.963100185282835, -0.7708776847346371, 0.8232600395451606, -0.21800187000962312, 0.37794803818845935, -0.30883247954433857, 0.5478738373868731, -1.7127574999515698, 0.2621710182406999, 1.6647952914252984, -1.486963236879447, 1.9663408138692684, -2.3169808288536395, 2.008899406772317, -0.4256035912089974, -1.376823738670011, -0.26295378664942193, -2.3115021916897143, 3.065712050754335, 0.9631530841456449, 0.4907555118916532, -2.0715567853520866, 0.38794558183225203, -0.08613938364625917, 0.4032189493686875, -2.0780986093855733]","[1.0, 0.5, 1.0, 0.5, 0.0, 0.5]"
3,스페인어(1)/최유정,"[-1.2145690852873476, -1.358813846804486, 0.20326633767620908, -1.4809576424165036, 0.11844797023739301, -0.5237479886593113, 1.0777069039896305, -1.226753213272406, -0.5843137455663133, -2.557902485855407, 2.968101017854943, -4.536828154109482, -0.600011121843957, -3.852696560789262, -2.0563809765477257, -1.4550017621792224, 0.035554943406997316, 0.870837155423014, 1.8268284919207345, -0.969518243059633, -0.06715090095956905, 1.741173362991337, -1.434909744546676, -0.5977092361225023, -0.4569173914577812, 0.14687004045842994, 0.08226683935331794, -3.314898067066107, 0.3660112317104799, 0.39348097749174116, -0.19009635806046918, 0.08194004386442354, -1.3225919081253596, 1.3290319971254134, -1.7255369251207737, -0.2766849903418852, 2.937716307673606, -1.3445911846124545, 1.502663278584773, -1.9120170483781074, 0.7600651201695626, -0.2278701599444134, -0.4372296509881668, 1.923788166181728, 2.5937418347575907, 3.4886736312080506, -1.2639663824067668, 0.4157176543771787, 0.299626918106912, 1.9172457629014368, 1.4604635887274686, -3.5304512004977653, -1.2559136904091106, 2.0952738496251966, 1.6682522943449747, 1.1373487627464967, 0.7868228621488494, 1.1902406779149914, -1.185938100298096, 2.0376650531561484, -1.6269103849871265, 0.9060657434277702, 0.5563248675350662, -2.21433835884949, -3.0576937161490934, -1.7954109251693604, 0.81712240581568, -0.22732866320607836, -0.44032774494184695, -2.141995611724754, 4.072965534742991, -0.08044021023287727, 0.010974257306628137, 1.4293012460210868, -1.0928520605522276, -0.7501541265995959, 0.8825228280335911, -0.4985918494629083, 0.34749641706058315, -0.6034513989279823, 0.7409176637600239, -1.5229558509455874, 0.6368305239271989, 1.8595990375879312, -1.5612483135339983, 2.0146472508725686, -2.631238345288854, 2.087218300417762, -0.40570627509548424, -1.4565577913153833, -0.17039266857209004, -2.474963175516914, 3.057297302759913, 0.8721040664213057, 0.16224548102752456, -2.2239528812741236, 0.4163895687991357, -0.16663558148442456, 0.40320067239900104, -2.272922996780884]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.5]"
4,"ROCK MUSIC, CULTURE AND SOCIETY/이지훈","[-1.2546117497950418, -1.387209685319639, 0.05781169528864217, -1.6352650766184935, 0.2179056485675124, -0.5254204346228019, 0.9297473459928891, -1.2698275493935594, -0.5168933258598497, -2.710351660404233, 3.1720139167992745, -4.849408361101633, -0.6163386502185854, -3.9990577329669446, -2.2643476520037367, -1.5233186545591104, -0.032712354309251866, 1.0011887115823055, 1.881344746406561, -1.1374302481433265, -0.09008187567260352, 1.9658459474329946, -1.3656178280665159, -0.633876072929967, -0.5418123928727571, 0.06522165683011341, -0.07471799181905264, -3.5006220809860547, 0.4719871785886679, 0.24042255937920615, -0.24910057846907122, 0.15659508491440166, -1.3484049360354877, 1.4680865554930567, -1.943917669449639, -0.29663184795551706, 3.3272003220958104, -1.2078595718549785, 1.5620233535019499, -2.1861145173967813, 0.8576524987236692, -0.1732365645542256, -0.5328091676216321, 2.2598203578855087, 2.7832485765305264, 3.7920939210049034, -1.5118824064015906, 0.5050031616549236, 0.35580350087744045, 2.1117576189459606, 1.79946336438354, -3.9029244776999494, -1.3289202825763882, 2.404100866502585, 1.6761278429296755, 1.2651773065694483, 0.8105390912247482, 1.2534926245464821, -0.9136358509819341, 2.2499257295382873, -1.8499954212246823, 1.2443387255744163, 0.4705650612877609, -2.4381210431317473, -3.4810172228128433, -2.223859459073325, 1.0816375529711972, -0.042370721635681514, -0.3656622939567775, -2.44905432998266, 4.4688810131694385, -0.18521894934319205, -0.022143362342427322, 1.5278200759672962, -1.232009105619245, -0.7691427775627742, 0.9151061741253697, -0.5045783298251612, 0.38876092606640933, -0.7571181227014808, 0.8805110232116524, -1.6211094665096863, 0.7264833765012141, 2.028913839190006, -1.900809967374678, 2.463508359241262, -2.683304013439926, 2.506161852017561, -0.4050867982151062, -1.5214567173374638, -0.3506698193347859, -2.6286269418462114, 3.523043968989204, 0.9201274076288235, 0.30089791451293574, -2.4399437721363104, 0.5646824709601532, -0.2131309358215565, 0.4752273132864509, -2.478557488738414]","[1.0, 0.0, 0.5, 1.0, 0.5, 0.5]"
5,사회학의이해/김종우,"[-1.2354892639163337, -1.1547804889755964, -0.059384865541053725, -1.3961377324417512, 0.1239938159921086, -0.47779485465667776, 0.9315856166974553, -1.1527459857952895, -0.5524992144380769, -2.464677036862304, 2.935666896272507, -4.396811755367104, -0.6853217151724897, -3.5723137213932716, -2.215895938346321, -1.3424825492140635, 0.03492058117535097, 0.7395909800586948, 1.7737251710652764, -0.792282872301864, -0.09858526162980652, 1.5401631496069634, -1.155115913316492, -0.7789462123076288, -0.539076261960466, 0.23252690728973274, -0.002410249010917023, -3.263455169226331, 0.4150089676972847, 0.3374302268166576, 0.07520778016966616, 0.11452755797337, -1.2009593209177978, 1.3579812075086148, -1.7641136570310965, -0.2542773752027617, 3.007306561890143, -1.3048095524118501, 1.2669684300601256, -1.9883574143095963, 0.5530505335869231, -0.11727708733493387, -0.6487437284371719, 1.96981702466637, 2.753944457448958, 3.482294977861375, -1.5080178205415773, 0.636405946034079, 0.40822202689421555, 1.8950254768176518, 1.605168406599024, -3.6022830454285963, -1.3436290664510084, 2.4591839577493477, 1.483056780143755, 1.0922793243928144, 0.6114141745216912, 1.2943592969711353, -1.2251687796064499, 2.0035616347576064, -1.724571449901548, 0.8919021478125913, 0.5072275051923268, -2.3413831712656954, -2.949616045658081, -1.847550604469248, 0.8505343654379605, -0.058176334199218985, -0.30326450846260633, -2.1944293432368256, 4.0072861571324765, -0.25770854595325615, 0.029418361191420137, 1.4128642122868147, -0.9344735864544637, -0.45193923681045195, 0.7403365693249607, -0.3019848678077249, 0.48144714276971423, -0.626586217773486, 0.8081708174820628, -1.6352703730878555, 0.33370386849273387, 1.8702718120482995, -1.6553976197283067, 2.148270281347991, -2.194247928801094, 2.093844664479782, -0.2797282034533306, -1.311563774537166, -0.3206585790758208, -2.205431386374225, 3.094970612685696, 0.9113661067789443, 0.2968930272072293, -2.0438439850758483, 0.3314621061036526, 0.006290455003580025, 0.5264860050373019, -2.1787213695296477]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
6,컴퓨터시스템과피지컬컴퓨팅/김신덕,"[-0.9325524519414655, -1.0813437958725092, 0.08643779371713523, -0.9572583287657948, 0.042104966112594996, -0.3582657674717487, 0.8579357894269816, -0.937586397034444, -0.38371014931876063, -1.8435228931401337, 2.122327388988623, -3.3818215312667697, -0.4527133610297923, -2.77383899733309, -1.6389697980317053, -1.0310681562169328, 0.055319947874733086, 0.5594252838595601, 1.3315758483674582, -0.5837086557464891, 0.11316125975200252, 1.2338194741767996, -0.9862626882448711, -0.6218049138091953, -0.37589410691761704, 0.09549479723675855, 0.17043273773531079, -2.4320356186010805, 0.2524751490646772, 0.3329113969735489, -0.09948227701565861, 0.09154431837069255, -1.0468940875586832, 0.9340678942042814, -1.241657732155247, -0.15805265678180072, 2.0700722737624715, -1.0607551097182812, 1.1032200643334853, -1.3043545182915728, 0.5333280882673388, -0.04300545320898687, -0.4237431052538207, 1.3561971417845609, 1.8478662071357859, 2.449340615111944, -1.0552994354835308, 0.3055008614090657, 0.2002093825577417, 1.5094901846357043, 1.0778266171009006, -2.4271510658774917, -0.8916982526996665, 1.528707060715607, 1.1795877506523615, 0.7328957591995265, 0.5191119410258109, 0.9399006384194253, -0.8522541997355584, 1.5660806348167295, -1.1223142659173764, 0.6451567535613483, 0.4793414025326555, -1.6096857239717859, -2.275196756816961, -1.3821209121064018, 0.5845738268217585, -0.10271487338409813, -0.2570995707441479, -1.5905631599314998, 3.025986386910369, -0.07294209994418714, 0.09634255009256325, 1.0200433401852589, -0.8853542374315854, -0.475646919546582, 0.6317340807609928, -0.391576367283476, 0.36227390653937197, -0.3509199487954812, 0.6870140205909765, -1.0711180761635017, 0.4751772272672516, 1.432290050816869, -1.2157860819988384, 1.3129187699628986, -1.8427637729679018, 1.5852442530873654, -0.32302605248960437, -1.1089837754695657, -0.0549375036777798, -1.8836625266788312, 2.260665792639048, 0.7408171677700242, 0.14411156723369878, -1.7602812469633853, 0.3229126375218011, -0.18164475780874167, 0.38448079142676916, -1.6448546242473296]","[1.0, 0.5, 1.0, 1.0, 0.0, 0.5]"
7,동아시아국제관계/김우상,"[-1.1754717642530945, -1.1685639496078546, 0.08401895082789346, -1.5832845478833584, 0.09087171420305476, -0.32606380620797987, 1.0221756697403055, -1.2317442511158574, -0.6527370052224305, -2.4625624414655096, 2.935665983956724, -4.722107816827154, -0.6889134176334613, -3.901929948269139, -2.3157648686037517, -1.6895432278609104, -0.10383510049344478, 0.843674035917885, 1.9622847974844162, -0.9865713256535831, -0.10755442867874786, 1.8208210640509825, -1.5767781827121194, -0.7116711709820465, -0.6728517366454423, 0.20542668004351292, 0.102128832699138, -3.5738803164302766, 0.49995561664398624, 0.3036358756515379, -0.027094869919427004, 0.22508701117698052, -1.2532857879621104, 1.3966481822155945, -1.9190413523853154, -0.44885257378858856, 3.1493118876351773, -1.4043219252105734, 1.500636927684914, -1.904566325160604, 0.8440465201132461, -0.0720648222749591, -0.7746507062667785, 1.8945392584813308, 2.7327239436362634, 3.598745852498665, -1.4628512828671871, 0.39094609108486106, 0.5029972318796236, 2.1226535101811117, 1.6421240587173296, -3.757992322348299, -1.164462983898367, 2.2726448152667245, 1.5718192844721994, 1.219280752863904, 0.7831977771500873, 1.1241110217539414, -1.0787854401161245, 1.9979158889577187, -1.6995891685540443, 0.8947632740673441, 0.46958581101449204, -2.292040211397766, -3.191788155608496, -2.280189210483683, 0.9349269960923487, -0.10100607381394078, -0.352936681838349, -2.556227062005978, 4.406303547191023, -0.13997107239678264, 0.05423269778323913, 1.513218129538304, -1.127046749302867, -0.6817189080610698, 0.8317511062176263, -0.3450307422373849, 0.4763784502034482, -0.700196547615211, 0.7760374645785123, -1.7549837180227166, 0.45485833881080123, 2.1126607251524168, -1.7536284210791615, 2.3176944272777638, -2.60988148065898, 2.3197636766544907, -0.27320615467283516, -1.518617545196918, -0.29834801026268226, -2.496121032820733, 3.158476877716151, 0.9639493073912873, 0.23676898308488484, -2.2886246991821717, 0.6226990411153474, -0.10678241929042599, 0.5104611052591901, -2.2778629968997954]","[0.5, 0.0, 0.5, 0.5, 1.0, 0.5]"
8,이상행동의심리/양현정,"[-1.2798037447779222, -1.4924243288168129, 0.011126166229939245, -1.5989256602258097, 0.20410309234709711, -0.4712863961640825, 1.0832229504382438, -1.2974784014833394, -0.6683893055841116, -2.823119189864141, 3.237882924108086, -5.1175927220513495, -0.7130185808164385, -4.2578246396326165, -2.4746608233872163, -1.713898614979568, -0.03782784647037392, 0.935485779669345, 2.1786149238188814, -1.1774239630217327, -0.07859202173560711, 2.026297931602948, -1.5172051862094025, -0.7553106863236151, -0.6650955427453493, 0.15085354238380913, 0.15088518505805937, -3.816118922440375, 0.4569291500265722, 0.4875834677132988, -0.10940572045360265, 0.22083138208287073, -1.3828703121913555, 1.61212003979441, -2.0569399259090373, -0.3753768730812981, 3.57287033876448, -1.5210820934532832, 1.6143514135909016, -2.2078843604429856, 0.8604548558233044, -0.2751410436266811, -0.5679262876044032, 2.3041587258612792, 3.091462746074952, 3.983857420619033, -1.5767065318673426, 0.5297878895863983, 0.45359016851056866, 2.178911665109074, 1.8827703345751914, -4.280216229577971, -1.3538993520926554, 2.6251260776421184, 1.814340340079108, 1.39797398407781, 0.8687478451202668, 1.3963721954218762, -1.2823357653272232, 2.3573051242316, -1.9230489274111342, 1.0479082730622684, 0.6437949026737249, -2.649239657816395, -3.5700808702841536, -2.2746913679285647, 1.1176462445944921, -0.04884708769249457, -0.38592801403240173, -2.6246492894166984, 4.71439232299153, -0.18991474110397272, 0.040988132370028164, 1.6849515027204878, -1.2529287871043961, -0.8423941459975967, 0.9135686566307316, -0.4004794283224465, 0.5535299275886049, -0.6937639570546527, 0.9279268773758503, -1.8738171296994284, 0.5276796739286467, 2.2242352248157746, -2.0389124748252265, 2.5234257561467626, -2.9156973307681895, 2.544867226308539, -0.344951839435961, -1.6182896165998162, -0.24371985277227778, -2.724797137445571, 3.6115558822674565, 1.093779511353043, 0.3184866730127811, -2.4885053668794828, 0.5377084922768025, -0.15236168961845847, 0.4974376730516983, -2.5703946704522975]","[1.0, 0.5, 1.0, 1.0, 0.5, 0.5]"
9,글쓰기/하신애,"[-1.1733567182368534, -1.2273598108914912, 0.2770851998841407, -1.4542887508663849, 0.022921407600563402, -0.5131490156727918, 0.792785791975554, -0.9717194060623563, -0.582662804061352, -2.325584842316283, 2.5621182385552452, -4.071600704541425, -0.4934302534755967, -3.438069589967709, -1.8549612927798798, -1.4343445016590624, 0.24444175769587367, 0.6132150759235241, 1.6181171495450553, -0.7783436904546533, -0.3071030079835374, 1.4473418593049812, -1.19714444910976, -0.4085437094162137, -0.5562123726003778, 0.07860194219854175, 0.14657573690982312, -3.326961705138301, 0.29774734327180646, 0.5397377180909326, -0.33699857645508635, 0.353424140458999, -0.9702226194079286, 1.2089892566204865, -1.892282156766893, -0.12325782134116171, 2.744990321038277, -1.4537855853900836, 1.1917233230173274, -1.3651813146743232, 0.5966219263105672, -0.28358614184319086, -0.26277156598667833, 1.8218598400947843, 2.675703156146255, 2.90127735722606, -1.1326251059763648, 0.5109285431433706, 0.46602295560914364, 1.6247212701903548, 1.4118344187387317, -3.485275000165141, -1.2403961478390726, 2.0589610917011862, 1.4236438033562488, 1.0823244555424554, 0.6781812061510233, 0.7099842653556782, -0.9874326186666174, 1.8328433820622594, -1.478821460729847, 0.8243963878234204, 0.5367366880718534, -2.2336580899152816, -2.7881597435140577, -1.9585624273239608, 0.8643274626704024, -0.06468371954917529, -0.31537244466222203, -2.2656422424401526, 3.7504535727786563, 0.15366453266229918, -0.08238931121131493, 1.1483700861000827, -0.8999842142628375, -0.5854169680850627, 0.5708631982630424, -0.4314553733289072, 0.5682173660931406, -0.5172703391878803, 0.9224415917703118, -1.461749871026846, 0.38653582059345204, 1.792166275979509, -1.429632670123446, 2.0693309602024375, -2.433278038203222, 2.012147503363526, 0.17974055523950336, -1.0951980017215863, -0.252733280510939, -2.269574496480267, 2.7137497991209676, 0.9280456253636334, 0.01687701585867601, -1.9402837450184918, 0.33960375847380037, -0.17637637154145763, 0.44913210638703654, -1.9063354927576102]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.5]"
