,강의명/교수명,input,target
0,통계학입문/김숙경,"[-0.31417282734761487, -0.3674974179630464, -0.05115873844192696, -0.49139479980537093, 0.023720072433619156, -0.17797659309820532, 0.2523008624639459, -0.41110392878816443, -0.20235109007736188, -0.8883415857222753, 1.0737342640637553, -1.4719508212731374, -0.149625636667762, -1.2599999169815124, -0.8326648531160146, -0.4780493687081792, 0.014847779465091054, 0.31321021254517, 0.5945396539384055, -0.3361857753173364, -0.01859948728464331, 0.573453411907841, -0.3643369651189824, -0.28503236661703574, -0.15582593586982307, 0.004619120004194501, -0.012677246373862576, -1.1488229283402758, 0.14446269189663533, 0.0541700822789685, -0.0320320665820399, 0.022289337539695097, -0.43285513734428155, 0.44646648270553563, -0.6315674514970961, -0.07288792980289552, 1.038225008233622, -0.42253082983961077, 0.5011672000064663, -0.6843633553268573, 0.17452418196686603, -0.026265386541273587, -0.15405956776865556, 0.6712909902938445, 0.8873458317326789, 1.1832841430886207, -0.5193595201431437, 0.1611950098635798, 0.0902485910248394, 0.6742519427850628, 0.5461188892937627, -1.2729141417889294, -0.4519718230890703, 0.7775830698221359, 0.5983031541494199, 0.4374726824580871, 0.2079162422755452, 0.4615354244034651, -0.33217783354557706, 0.7318533942310929, -0.6044966734326123, 0.3525759107142554, 0.18156173785722593, -0.7505806913518016, -1.0794640706042233, -0.655092349776162, 0.30550747529690936, -0.019982440991374712, -0.2037142659160034, -0.756420208058939, 1.4202657877965235, -0.054609522211434516, 0.03903468837208732, 0.5041124233083939, -0.3706467855650727, -0.18685387337892112, 0.2290016168059334, -0.16091760922304585, 0.10429281740020828, -0.2226089713166518, 0.28857640485669117, -0.5962098771202587, 0.20892454259974808, 0.5643547452920703, -0.5936755952965375, 0.8279811006773863, -0.7888991733152823, 0.7628375450898204, -0.15718275164869608, -0.493385019735884, -0.163769247322198, -0.7692449105824667, 1.1319301771242483, 0.31780495508604867, 0.14773764189365507, -0.7363458911347963, 0.22121484960688795, -0.056773878822400294, 0.1977670400634875, -0.7309189591148268]","[1.0, 0.5, 1.0, 1.0, 0.5, 0.5]"
1,글로벌리더십/김용호,"[-0.3530267322174085, -0.3057673649840293, -0.04681364988702344, -0.48810859882542157, 0.04340364345145472, -0.1707316276082344, 0.2682387172324974, -0.3587507893073009, -0.20717068419122475, -0.8009195828770529, 1.034963301831286, -1.44408864016664, -0.1958458251595195, -1.2446990773370419, -0.719379809022705, -0.5118965547821676, 0.027298511379979077, 0.295226072046913, 0.6038018394487281, -0.3680346233026172, 0.0158020441767723, 0.5757023472408854, -0.40034825576651384, -0.24374850769150697, -0.1220875099429243, 0.035235640990847986, 0.025726442028708513, -1.0868208263603254, 0.13238107579300956, 0.08802490933789547, -0.010209543215676983, 0.024509920242937456, -0.4583222444343201, 0.4091392335572625, -0.5798282548359089, -0.08695816724818445, 1.0166980649957815, -0.4134158584501549, 0.42674737748623154, -0.6396164221768924, 0.20595820592287406, 0.0016859862716723326, -0.13464541034807873, 0.6039714011937701, 0.858040854768683, 1.138551761036066, -0.5031270518655105, 0.1437879806460226, 0.1138273059381768, 0.5974291879431637, 0.4919184444906254, -1.230328082083645, -0.4110873751269337, 0.7229079460405905, 0.5610557166874108, 0.41270064926077754, 0.19920916768571695, 0.4032392998195283, -0.3686109824677567, 0.6956333581129583, -0.5555596283553931, 0.3411399575797416, 0.18613545045527755, -0.7063699961469618, -1.0630564495159889, -0.6316925494646237, 0.28702540783802266, -0.032661827359663706, -0.15747780309965678, -0.8209157712010737, 1.3751755023733614, -0.06477612704659608, 0.043617596335548514, 0.4703903370722195, -0.343967960361511, -0.23557160218644835, 0.2791676521671587, -0.15060437730620932, 0.13075649398373504, -0.2315762693380005, 0.3177186238976927, -0.5940948605045407, 0.22081038364793779, 0.5863583038163898, -0.6057151477072428, 0.7420412661399268, -0.7845778605003384, 0.7910130519953783, -0.12823818470996526, -0.4760897637675518, -0.1844573879355537, -0.8178139016904246, 1.0747222116883672, 0.3008523959872823, 0.12671553397577853, -0.7016827280985136, 0.22010491184678785, -0.03231014803201758, 0.16754254115683356, -0.7205514083903454]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2,인문사회수학/김동호,"[-0.4518579473536773, -0.4531542860712264, -0.04478556653380905, -0.4880994618480168, 0.02990145279674527, -0.18777072211700513, 0.30792767593119535, -0.44575453448702346, -0.1255687248535044, -0.9693774429866101, 1.1304362117974616, -1.704096932186525, -0.15897519651864686, -1.470521692591462, -0.8573946593732562, -0.585053160341545, 0.0635482384533999, 0.34281417120437974, 0.6852975529611465, -0.34952210838564574, 0.005207105091540345, 0.6838440918853597, -0.5057622105825885, -0.24740670765146058, -0.11150109931263305, 0.0026206952578731995, 0.0232865069714567, -1.2565383406265256, 0.16725811809205954, 0.0425756253303318, -0.022102204726772132, 0.047625826078954554, -0.467613236712681, 0.46583050474482, -0.6497962596136366, -0.021918443660092442, 1.2205548933015664, -0.5119190292713223, 0.5194598935401686, -0.7345576634857054, 0.30390040314060723, 0.015796229472148777, -0.09910012647992436, 0.7761974921388837, 1.0431668247706507, 1.347481334669822, -0.5329550276232152, 0.23265687802305907, 0.141661725048296, 0.7246396824285601, 0.5142297100267235, -1.3588464397370255, -0.45130484828253326, 0.8622298764460686, 0.6537596252591644, 0.4623398708213717, 0.19627904649633093, 0.5471233355336713, -0.4301915281455989, 0.8420490221080912, -0.6829638340946074, 0.37798849716895055, 0.2483807802450418, -0.8595777462421923, -1.2231359532866537, -0.6490775432956956, 0.30295388642075133, -0.05648168314918723, -0.20333405473683286, -0.8663492208981572, 1.600202792105208, -0.10825350384511345, 0.04251369663110945, 0.49998140402604013, -0.35855617149062063, -0.20195858336434566, 0.2339592555122895, -0.18263346669734343, 0.10687763359443797, -0.21794142536360317, 0.2719437586193376, -0.7550350920476216, 0.280082252602495, 0.7211734542076265, -0.6367907225186148, 0.8787962930179165, -0.8905811050712137, 0.8634398267682106, -0.19305905151646952, -0.5514888430242042, -0.14379755046657405, -0.9219115684171957, 1.2720079568331153, 0.3841537532497464, 0.1793669331688046, -0.8186560632224347, 0.26418973779656746, -0.12473947616218371, 0.2323557391489017, -0.8691850752884999]","[1.0, 0.5, 1.0, 0.5, 0.0, 0.5]"
3,스페인어(1)/최유정,"[-0.45684682930194104, -0.37327360611225824, -0.04848608795320529, -0.658163762892651, 0.03250634868536889, -0.23689499498397906, 0.29761057905623706, -0.4769995608677558, -0.20965014251125835, -0.9646505777540497, 1.242720485885326, -1.8390350219980272, -0.23825490342134042, -1.5614827690433346, -0.893816424724032, -0.5741089268851098, 0.016926228105384498, 0.3943145471093848, 0.7172585848873843, -0.43539664346175083, -0.037069171767993965, 0.730568563195687, -0.5005577361704348, -0.2358471657104704, -0.12724923154177697, 0.044055025026181846, -0.019716270339685732, -1.3554986960366786, 0.13404174532201368, 0.09883275694172053, -0.016065105069695308, 0.05787483523450778, -0.48463559018714053, 0.4491753857829791, -0.7747545908958833, -0.11626711585045446, 1.2676581450153206, -0.5158993356856707, 0.5430137781559008, -0.7251415878373657, 0.2849506403021594, -0.042698433185977436, -0.10952798826462247, 0.8195870111064852, 1.0426650547884206, 1.4584443149000812, -0.5959464884622481, 0.19779904694230374, 0.16877988567957367, 0.7413013153769243, 0.6162660616654152, -1.510284662485635, -0.5335086497647785, 0.8932195009312403, 0.7170305725708039, 0.4418624003364466, 0.29355908271220893, 0.48133907452636837, -0.4286484415216484, 0.879284522891664, -0.6846957790108479, 0.4869601395948234, 0.14743361034375374, -0.9231688620512377, -1.3856043899697659, -0.7918934699312967, 0.37645127563845676, -0.02716528932160985, -0.15229515991195824, -1.0010420341716846, 1.6849040191315023, -0.08082466754718558, 0.02462184772007602, 0.5656154862061276, -0.4051624791696437, -0.3144416816055342, 0.3758339707186422, -0.18582264259531106, 0.13490827981183215, -0.33124040869227994, 0.372023454801889, -0.6568396042528976, 0.3115331155114661, 0.7223909874006583, -0.7073012607536223, 0.9274230837078008, -1.0119644656835005, 0.9438291235286305, -0.1595301455520575, -0.598801811926953, -0.16537093156771893, -0.9877687900475441, 1.3209832300208788, 0.36089571831485806, 0.11586928132052109, -0.8425429946819528, 0.27316391460452943, -0.08882185502133932, 0.21822366769229762, -0.9492941113270257]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.5]"
4,"ROCK MUSIC, CULTURE AND SOCIETY/이지훈","[-0.40634037789608635, -0.3194865621501923, -0.03976908471521548, -0.6044262398353993, 0.04979160783753411, -0.20441832891023773, 0.3189467056070966, -0.46903400681529434, -0.22212705612286, -0.9507248558587071, 1.169503127619333, -1.7025092359963787, -0.19694573227003273, -1.500080973908451, -0.8747547105695687, -0.5443026452337305, 0.007072780394437975, 0.3360211499866814, 0.7047263090557465, -0.44634660294437273, 0.007346649259813695, 0.7270784766847709, -0.4555035354592856, -0.2879419898780071, -0.2034237126344192, 0.011106412627621366, 0.03624495968958755, -1.2861959580168327, 0.12657683105279466, 0.09919740010705108, -0.02534645567401091, 0.06497967804082352, -0.547046344172601, 0.4139319199112612, -0.6957615485861239, -0.10070175400099955, 1.1787666074941947, -0.49696595002308347, 0.5478523837354067, -0.6833697118815942, 0.2639524419873228, -0.04967373107428538, -0.13137863070839426, 0.798106096603795, 0.9760460866163463, 1.2883470578587, -0.606873318940166, 0.1806989408289273, 0.13122650412286754, 0.7101985741524992, 0.6330081053383506, -1.4274447732366453, -0.49670370605272157, 0.882318721554538, 0.6808074848557603, 0.476315170414283, 0.1943889667441689, 0.44560812446568304, -0.42206931685763704, 0.8081007427091673, -0.6383236876549138, 0.4180706933455399, 0.2067384231503478, -0.8512506322382123, -1.2549570437982214, -0.7535435446884318, 0.3564280231808423, -0.054276069376700375, -0.1929308165000959, -0.9801102748053623, 1.637062416860251, -0.06470156319103557, 0.05375000951978895, 0.599971625752369, -0.4617045799338907, -0.3014032387204239, 0.2680655943241041, -0.16726909202355147, 0.14284465617034728, -0.2632448522370962, 0.34776671746637006, -0.6729894721902866, 0.2036426467979443, 0.6834233002744277, -0.6641969424309472, 0.8962296809772803, -0.9658680285575817, 0.9423467177873792, -0.18811352135553067, -0.5451778777858158, -0.24247534435698176, -0.9474622422593834, 1.2594472671646224, 0.41628037441505594, 0.1300899462217951, -0.806602101322005, 0.2296765880118204, -0.04794434757908699, 0.20725002604924886, -0.8839760675350041]","[1.0, 0.0, 0.5, 1.0, 0.5, 0.5]"
5,사회학의이해/김종우,"[-0.454470993437619, -0.4006276572325686, -0.000791218387253883, -0.6115808447324609, -0.004127270894789086, -0.23494070811327372, 0.3195036870864247, -0.3840518803239869, -0.16384791421878944, -0.945142406594003, 1.1112022859636477, -1.7583580836916626, -0.19635356419529387, -1.4748377310130454, -0.7855194817091489, -0.515211638286503, 0.006822678344232456, 0.35973811619451485, 0.680338845983391, -0.3771602933456127, 0.027815070400264486, 0.6731983415182471, -0.5166131007514448, -0.24590216852172878, -0.13217507891029787, 0.0586701804448474, -0.019154010802648763, -1.2114486899757926, 0.14417122162094387, 0.07025438325392407, -0.025530617080595525, 0.04788829285986929, -0.4750992950497019, 0.4017237787993517, -0.6462038459569831, -0.03791326061608075, 1.169337960573427, -0.48443916074938814, 0.5266478780408125, -0.6658562651942522, 0.3249280388038597, -0.04370748111716739, -0.09906797101785189, 0.7874632045257087, 0.9805787080335586, 1.3001329471389642, -0.5644320828727789, 0.26183219419889303, 0.17500332080034, 0.6742016178118141, 0.6076886575210336, -1.362539926073138, -0.4718613282052684, 0.8745944560644101, 0.5678331892373331, 0.4447351593267134, 0.2602143714859715, 0.4305886949619886, -0.42339120249433837, 0.8148152273920948, -0.6370160557914001, 0.4436270164865345, 0.15796422549379768, -0.8680079235164867, -1.2047971866296276, -0.7210360228580629, 0.3191145204144867, -0.025011130697210202, -0.10039536653025216, -0.961147688304497, 1.5798111698548436, -0.06700315022744575, 0.033834430396689694, 0.5425346427939172, -0.4078599190008349, -0.33413841674047845, 0.3069322770038942, -0.17969716044576445, 0.1437458497609192, -0.28945487722787266, 0.32530452875522636, -0.6570628008989197, 0.267692860465315, 0.7225129032319985, -0.6576227944132079, 0.8214136846025216, -0.9472797287684823, 0.93302901778318, -0.13854870053040347, -0.49933755569438726, -0.13834485919197187, -0.9988027889606675, 1.1947639728500854, 0.41965208746757965, 0.0974260189401379, -0.7900935955835261, 0.20124646062106374, -0.0332703810458376, 0.1853624183718717, -0.9279550982181796]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
6,컴퓨터시스템과피지컬컴퓨팅/김신덕,"[-0.4257203639125197, -0.2937467617381364, -0.04176090259076806, -0.602516603331186, 0.02937933931921216, -0.2123712589418073, 0.29001616500837635, -0.4552244278698804, -0.25449034115816, -0.9205852126697841, 1.1572716185728202, -1.684585367004916, -0.18129025974087254, -1.4052856259795048, -0.8424689039772781, -0.536483150140351, 0.05456724237495332, 0.3122095756779235, 0.6608388039174065, -0.3801336338016689, 0.016953328894599603, 0.6229006830410632, -0.5008307661746041, -0.25150795641597085, -0.15743186635303866, 0.04347946365061692, 0.010312805708017405, -1.2218689564493068, 0.14826715921549194, 0.03302161909008718, -0.026601456582502864, 0.08520974176495386, -0.5142170037096341, 0.43968002865260103, -0.683421472856735, -0.10338255570078647, 1.1819959144809358, -0.4837327091116128, 0.5581243642171619, -0.77083807388455, 0.2772948570496978, 0.008335047661156983, -0.1801616903911793, 0.7655471613701498, 1.0017608944589762, 1.3111353600108557, -0.5629109291685017, 0.24098151401190485, 0.0904083831652004, 0.6628679829090193, 0.5766091361652297, -1.3844533087461355, -0.44847231081957456, 0.8136683347171451, 0.7038163916919508, 0.4750867889320849, 0.22340028123431013, 0.513432838418757, -0.40526737318392553, 0.7487635384184624, -0.639251859114876, 0.4467014501923716, 0.19573579812169675, -0.7921215945144152, -1.2110996225850017, -0.7232148445249114, 0.2832342736524921, -0.03865320420558392, -0.196925793476818, -0.874624180688147, 1.580961364761323, -0.04997069595581912, 0.14696183234783597, 0.5103968545306342, -0.4394078142794932, -0.2258834389664296, 0.3312289529296433, -0.16956971358632783, 0.12972835891064785, -0.2678727322872352, 0.34721773846249765, -0.6071718494908237, 0.22792785240325555, 0.7123806409621951, -0.5997706964324941, 0.8545219910760052, -0.8914790348185188, 0.90096562188736, -0.18767652214703126, -0.519538346283159, -0.13071181836842186, -0.944499668118659, 1.1964820710287256, 0.3786116452922533, 0.12959352367643193, -0.8707717691088439, 0.2811253501885127, -0.0898081535510663, 0.23394603766251004, -0.8618010657591361]","[1.0, 0.5, 1.0, 1.0, 0.0, 0.5]"
7,동아시아국제관계/김우상,"[-0.5416610216718832, -0.4386769372404984, 0.003245301866890477, -0.6522699589563208, 0.026113610177856825, -0.2874188486651935, 0.39808649503737165, -0.5434123679219124, -0.24788166220856694, -1.026343097130833, 1.344695064443395, -1.9355670518601285, -0.2617848896541679, -1.6239189271371954, -0.9006756010465281, -0.5921251265922585, 0.016876066556815728, 0.3708333442379683, 0.6964279002248213, -0.42831623670198193, 0.0144682450348492, 0.7331632897593038, -0.5220085311671476, -0.267304907342559, -0.1340944675366681, 0.02655234940466404, -0.008184444214943477, -1.338018850827266, 0.11127046266285698, 0.09724652548003919, -0.1483816798110425, 0.027129695617249896, -0.643021833089035, 0.48115462402815995, -0.7567257497613347, -0.08995209191051824, 1.2482158059136588, -0.5465782114293994, 0.661919901291973, -0.8339886932263959, 0.3604070350711319, 0.023558849632189016, -0.1742230834898687, 0.8316290608556315, 1.09417940751133, 1.457935102467378, -0.6299677418098865, 0.2319192684836765, 0.11068462988851321, 0.8213458017102991, 0.6214677524510754, -1.4673265518835075, -0.49790279685355754, 0.901144424675739, 0.7668586113380343, 0.5119024433862085, 0.2594719647212104, 0.5500656393306737, -0.474708794696636, 0.8996103037138797, -0.7012132042688003, 0.5597263973247304, 0.23401307443191594, -0.8610617658680965, -1.373227933313192, -0.7699382898052426, 0.3902391560166793, -0.05590853693029249, -0.17246363240257365, -0.9747523281124326, 1.735926911479387, -0.058997317972324013, 0.03344537759121457, 0.5887320260454678, -0.4478938500119971, -0.2987616364522404, 0.34265585234087254, -0.27037940970343327, 0.14431487078229907, -0.30258388310318673, 0.38058357818843924, -0.6244700459447262, 0.3228515892607871, 0.7429500308569139, -0.7122744311396457, 0.945741105011095, -1.060779639614902, 0.9961859784776078, -0.23156563158924326, -0.6075128545676426, -0.1687510740699255, -1.0741205445152036, 1.3652836510366282, 0.3713778211173783, 0.1209189400734997, -0.962770609799779, 0.24856749536821618, -0.09500288650456173, 0.23083713869847722, -1.0049905864676658]","[0.5, 0.0, 0.5, 0.5, 1.0, 0.5]"
8,이상행동의심리/양현정,"[-0.4077376872173683, -0.33249085100282016, -0.05036433916239181, -0.5212653410469329, 0.004563052825809346, -0.21608627334519548, 0.26581008094856834, -0.42837305603956355, -0.1831248069976681, -0.8845167188313607, 1.0877133387065387, -1.5335611068646948, -0.19314026763534933, -1.3431986692067854, -0.803675823606602, -0.5059648819297077, 0.010416352382483484, 0.31951054781804444, 0.6310188092748648, -0.406009497393483, -0.005843911810340822, 0.6579556799490683, -0.4181585520288146, -0.2825420312140041, -0.1401272950819971, 0.01788334281686559, 0.021460972419660905, -1.1804351401485522, 0.11416240241304682, 0.06904279681779872, -0.009719019721472984, 0.05389320279220329, -0.48366899254229734, 0.4124591611502979, -0.6382375413226833, -0.08171871690475156, 1.117525129657603, -0.45878303420232086, 0.5063490979172552, -0.668921817703283, 0.25971887999247417, -0.008634475656816278, -0.10318802685823884, 0.7568847742682937, 0.9081630416755344, 1.2368732175732926, -0.5762470882107336, 0.16562364747859923, 0.14228594334032843, 0.666595964969503, 0.5996620003883898, -1.3203659365846954, -0.47193520231105657, 0.8190470043067958, 0.6221446908155499, 0.47147942777466645, 0.20413014405083962, 0.43147981041752814, -0.39619447632882326, 0.7823097381007116, -0.5971982003359925, 0.4166300419754134, 0.20493086364185564, -0.7974344258253423, -1.1265675539552988, -0.6819310503813049, 0.331172241217412, -0.029426200122380956, -0.17313140320637824, -0.8497939318224222, 1.4822443609341536, -0.05934623425734079, 0.05218225012463702, 0.5309021694236218, -0.3501329456365446, -0.23870720758906613, 0.2558689603837857, -0.1563467852231345, 0.09386961841014818, -0.26411816794106996, 0.354702682797151, -0.620434811384784, 0.2530362253998084, 0.6528018063431656, -0.6142791156597238, 0.8302357157812057, -0.8790457759510356, 0.8689552602045261, -0.16210919131205156, -0.48683509536492653, -0.2220504114990743, -0.874593427134145, 1.1683586284403837, 0.33924849305760246, 0.11400257504102275, -0.7437202449688246, 0.19643845821413045, -0.09332297737613963, 0.17090415298706813, -0.8293948129566688]","[1.0, 0.5, 1.0, 1.0, 0.5, 0.5]"
9,글쓰기/하신애,"[-0.17806519880081387, -0.24447154941981553, -0.04951505333949032, -0.44533195273650544, -0.010875201932813997, -0.12325210187457497, 0.27754537430692694, -0.3364348203603169, -0.21609488762197562, -0.7220482955993361, 0.7937393582168185, -1.2224981022419663, -0.06897503600950153, -1.10646649608304, -0.6665764535662954, -0.473036523239735, -0.018888669592991913, 0.2670097160248964, 0.5411076804987058, -0.28731193993406345, -0.04719346304352927, 0.4506587158090078, -0.35443487287881265, -0.2144910462120254, -0.13453219220313853, 0.062219178724291016, 0.024354776789988545, -0.9932458603087367, 0.16469838239552353, 0.09029218269811605, -0.012546561449632605, 0.07240261384596529, -0.38137289170114835, 0.3483551486941916, -0.4552555768570203, -0.05338810065720273, 0.8740327676080683, -0.3631577327857545, 0.37434946203534786, -0.4645485189382428, 0.12332254477693058, 0.009982895839464339, -0.11342454740972165, 0.5170023988742888, 0.737550622881406, 0.8976671332216749, -0.44823762452688476, 0.12095749916088044, 0.1059117728767467, 0.48337243061291557, 0.48158167160619875, -1.0679976193622975, -0.29839156056216204, 0.6170718559135416, 0.43635445651991145, 0.34832549787532163, 0.16205554085947563, 0.3158049839907626, -0.298274820604118, 0.5319952947474483, -0.43718380103625654, 0.20579792715392994, 0.23237589770206177, -0.6202802022409961, -0.8692847600352873, -0.5802588085359388, 0.20831146553827046, -0.04213512862862309, -0.19379835065351253, -0.7908803296807543, 1.199311004406904, -0.013138231878982824, 0.04680800712479234, 0.4440768025115626, -0.30116089307755767, -0.24658273569062208, 0.22746364698578847, -0.11916294857164023, 0.11916907370574926, -0.19136575687183469, 0.30131487057813605, -0.5689848158908855, 0.12019329457041064, 0.5674293422980029, -0.5518767821699012, 0.6466542413058571, -0.6718921623286729, 0.69157011420036, -0.06592676956268724, -0.3923462476560535, -0.15962902020953107, -0.7182482167779713, 0.9490740316776255, 0.29777883806508915, 0.13325934581790932, -0.5712571779602678, 0.23845964492263513, -0.01626507977048856, 0.14088449680886725, -0.5685687188541213]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.5]"
