,학정번호,강의명/교수명,별점,final_성적,final_교수,final_로드,final_강의력,족보여부,강의자료질
0,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.85,0.0,0.5
1,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
2,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
3,YCC1002-01-00,대학기본영어Ⅱ/오진숙,4.0,1.0,1.0,0.85,0.85,0.0,0.5
4,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
5,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
6,YCC1002-01-00,대학기본영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
7,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
8,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
9,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
10,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,0.3,1.0,0.5,0.5,0.0,0.5
11,YCC1002-01-00,대학기본영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
12,YCC1002-01-00,대학기본영어Ⅱ/오진숙,4.0,1.0,1.0,0.85,0.5,0.0,0.5
13,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
14,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
15,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
16,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
17,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
18,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
19,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
20,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
21,YCC1002-01-00,대학기본영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
22,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.0,0.5,0.0,0.5
